id;bpp;bps;bytes;date_first_seen;dst_ip;duration;flags;flows;packet_no;pps;protocol;src_ip;time_first_seen;tos
39;1378;3.2M;5.3M;2022-05-02;10.0.0.1:37761;13.28;........;1;3860;290;UDP;197.226.227.80:443;21:15:37;0
40;1370;3.2M;21.5M;2022-05-02;10.0.0.1:60132;53.74;........;1;15671;291;UDP;173.194.128.9:443;21:29:39;0
41;1381;3.2M;4.9M;2022-05-02;10.0.0.1:39471;12.33;........;1;3534;286;UDP;173.194.128.9:443;21:07:41;0
42;1378;3.1M;5.3M;2022-05-02;10.0.0.1:57846;13.71;........;1;3848;280;UDP;173.194.128.9:443;21:28:53;0
43;1378;3.0M;4.5M;2022-05-02;10.0.0.1:57846;11.97;........;1;3293;275;UDP;173.194.128.9:443;21:26:32;0
44;1381;3.0M;4.9M;2022-05-02;10.0.0.1:39471;13.23;........;1;3534;267;UDP;173.194.128.9:443;21:09:14;0
45;1373;3.0M;10.9M;2022-05-02;10.0.0.1:60132;29.41;........;1;7900;268;UDP;173.194.128.9:443;21:31:53;0
46;1358;2.9M;600409;2022-05-02;10.0.0.1:33266;1.66;........;1;442;265;UDP;197.226.227.80:443;21:29:35;0
47;1370;2.9M;64392;2022-05-02;10.0.0.1:9000;0.18;........;1;47;261;UDP;10.0.0.254:50487;21:29:36;0
48;808;2.8M;22640;2022-05-02;10.0.0.1:33266;0.06;........;1;28;437;UDP;197.226.227.80:443;21:29:07;0
49;1379;2.8M;5.1M;2022-05-02;10.0.0.1:56884;14.61;........;1;3720;254;UDP;197.226.227.80:443;21:04:00;0
50;1381;2.7M;5.3M;2022-05-02;10.0.0.1:44258;15.64;........;1;3852;246;UDP;173.194.128.9:443;21:23:12;0
51;1381;2.7M;5.2M;2022-05-02;10.0.0.1:39471;15.26;........;1;3740;245;UDP;173.194.128.9:443;21:12:12;0
52;1377;2.6M;13.8M;2022-05-02;10.0.0.1:44258;42.04;........;1;10052;239;UDP;173.194.128.9:443;21:25:13;0
53;1375;2.4M;7.2M;2022-05-02;10.0.0.1:51534;24.40;........;1;5253;215;UDP;173.194.128.9:443;21:20:17;0
54;1377;2.1M;13.7M;2022-05-02;10.0.0.1:44258;50.95;........;1;9918;194;UDP;173.194.128.9:443;21:21:21;0
55;1378;2.1M;6.4M;2022-05-02;10.0.0.1:39471;23.95;........;1;4648;194;UDP;173.194.128.9:443;21:06:46;0
56;896;1.8M;26902;2022-05-02;10.0.0.1:56884;0.12;........;1;30;245;UDP;197.226.227.80:443;21:00:42;0
57;1377;1.7M;9.2M;2022-05-02;10.0.0.1:60529;42.60;........;1;6663;156;UDP;173.194.128.9:443;20:59:00;0
58;496;1.7M;8938;2022-05-02;197.226.227.80:443;0.04;........;1;18;428;UDP;10.0.0.1:33266;21:29:07;0
59;1379;1.7M;11.3M;2022-05-02;10.0.0.1:37761;53.45;........;1;8157;152;UDP;197.226.227.80:443;21:13:10;0
60;1381;1.6M;6.3M;2022-05-02;10.0.0.1:56884;30.60;........;1;4526;147;UDP;197.226.227.80:443;21:02:16;0
61;65;1.6M;394;2022-05-02;52.85.218.46:443;0.00;........;1;6;3000;TCP;192.168.209.130:52412;21:21:43;0
62;1378;1.5M;6.0M;2022-05-02;10.0.0.1:37761;31.63;........;1;4334;137;UDP;197.226.227.80:443;21:17:14;0
63;1375;1.4M;5.5M;2022-05-02;10.0.0.1:37761;30.13;........;1;3968;131;UDP;197.226.227.80:443;21:19:46;0
64;1380;1.4M;5.9M;2022-05-02;10.0.0.1:39471;32.81;........;1;4246;129;UDP;173.194.128.9:443;21:09:45;0
65;86;1.4M;344;2022-05-02;224.0.0.251:5353;0.00;........;1;4;2000;UDP;192.168.209.1:5353;21:54:13;0
66;86;1.4M;344;2022-05-02;224.0.0.251:5353;0.00;........;1;4;2000;UDP;192.168.209.1:5353;21:10:51;0
67;86;1.4M;344;2022-05-02;224.0.0.251:5353;0.00;........;1;4;2000;UDP;192.168.209.1:5353;21:10:51;0
68;86;1.4M;344;2022-05-02;224.0.0.251:5353;0.00;........;1;4;2000;UDP;192.168.209.1:5353;21:56:24;0
69;86;1.4M;344;2022-05-02;224.0.0.251:5353;0.00;........;1;4;2000;UDP;192.168.209.1:5353;21:56:24;0
70;86;1.4M;344;2022-05-02;224.0.0.251:5353;0.00;........;1;4;2000;UDP;192.168.209.1:5353;21:25:29;0
71;86;1.4M;344;2022-05-02;224.0.0.251:5353;0.00;........;1;4;2000;UDP;192.168.209.1:5353;21:25:29;0
72;86;1.4M;344;2022-05-02;224.0.0.251:5353;0.00;........;1;4;2000;UDP;192.168.209.1:5353;21:01:16;0
73;86;1.4M;344;2022-05-02;224.0.0.251:5353;0.00;........;1;4;2000;UDP;192.168.209.1:5353;21:01:16;0
74;86;1.4M;344;2022-05-02;224.0.0.251:5353;0.00;........;1;4;2000;UDP;192.168.209.1:5353;21:29:35;0
75;86;1.4M;344;2022-05-02;224.0.0.251:5353;0.00;........;1;4;2000;UDP;192.168.209.1:5353;21:29:35;0
76;86;1.4M;344;2022-05-02;224.0.0.251:5353;0.00;........;1;4;2000;UDP;192.168.209.1:5353;21:40:31;0
77;86;1.4M;344;2022-05-02;224.0.0.251:5353;0.00;........;1;4;2000;UDP;192.168.209.1:5353;21:40:31;0
78;86;1.4M;344;2022-05-02;224.0.0.251:5353;0.00;........;1;4;2000;UDP;192.168.209.1:5353;21:54:13;0
79;368;1.3M;8850;2022-05-02;10.0.0.1:38318;0.05;........;1;24;444;TCP;104.244.42.130:443;21:27:53;0
80;1199;1.2M;136726;2022-05-02;10.0.0.1:48596;0.95;........;1;114;120;TCP;104.244.42.129:443;21:13:11;0
81;1327;1.1M;208395;2022-05-02;10.0.0.1:9000;1.46;........;1;157;107;UDP;10.0.0.254:50487;21:02:02;0
82;1327;1.1M;209695;2022-05-02;10.0.0.1:9000;1.49;........;1;158;106;UDP;10.0.0.254:50487;21:06:55;0
83;1327;1.1M;208395;2022-05-02;10.0.0.1:9000;1.54;........;1;157;102;UDP;10.0.0.254:50487;21:16:58;0
84;1328;1.1M;199295;2022-05-02;10.0.0.1:9000;1.51;........;1;150;99;UDP;10.0.0.254:50487;21:12:00;0
85;1328;1.0M;200595;2022-05-02;10.0.0.1:9000;1.59;........;1;151;94;UDP;10.0.0.254:50487;21:26:36;0
86;47;956000;478;2022-05-02;10.0.0.1:47110;0.00;........;1;10;2500;TCP;102.132.96.35:443;21:48:48;0
87;129;930400;2326;2022-05-02;52.85.218.46:443;0.02;........;1;18;900;TCP;192.168.209.130:52424;21:48:48;0
88;57;920000;230;2022-05-02;34.216.199.145:443;0.00;........;1;4;2000;TCP;10.0.0.1:33844;21:40:56;0
89;1327;894399;208395;2022-05-02;10.0.0.1:9000;1.86;........;1;157;84;UDP;10.0.0.254:50487;21:55:19;0
90;55;888000;222;2022-05-02;10.0.0.1:33844;0.00;........;1;4;2000;TCP;34.216.199.145:443;21:16:12;0
91;55;888000;222;2022-05-02;10.0.0.1:33844;0.00;........;1;4;2000;TCP;34.216.199.145:443;21:40:56;0
92;55;888000;222;2022-05-02;10.0.0.1:33844;0.00;........;1;4;2000;TCP;34.216.199.145:443;21:45:55;0
93;1328;875005;200595;2022-05-02;10.0.0.1:9000;1.83;........;1;151;82;UDP;10.0.0.254:50487;21:51:33;0
94;239;812848;6706;2022-05-02;10.0.0.1:49184;0.07;........;1;28;424;TCP;172.217.170.170:443;21:45:38;0
95;1374;788581;98967;2022-05-02;10.0.0.1:9000;1.00;........;1;72;71;UDP;10.0.0.254:50487;21:54:25;0
96;1374;788581;98967;2022-05-02;10.0.0.1:9000;1.00;........;1;72;71;UDP;10.0.0.254:50487;21:22:18;0
97;1374;788581;98967;2022-05-02;10.0.0.1:9000;1.00;........;1;72;71;UDP;10.0.0.254:50487;21:57:01;0
98;1374;788581;98967;2022-05-02;10.0.0.1:9000;1.00;........;1;72;71;UDP;10.0.0.254:50487;21:11:02;0
99;1374;788581;98967;2022-05-02;10.0.0.1:9000;1.00;........;1;72;71;UDP;10.0.0.254:50487;21:03:03;0
100;1374;788581;98967;2022-05-02;10.0.0.1:9000;1.00;........;1;72;71;UDP;10.0.0.254:50487;21:24:53;0
101;1374;788581;98967;2022-05-02;10.0.0.1:9000;1.00;........;1;72;71;UDP;10.0.0.254:50487;21:27:41;0
102;1374;788581;98967;2022-05-02;10.0.0.1:9000;1.00;........;1;72;71;UDP;10.0.0.254:50487;21:00:33;0
103;1374;788581;98967;2022-05-02;10.0.0.1:9000;1.00;........;1;72;71;UDP;10.0.0.254:50487;21:03:58;0
104;1374;788581;98967;2022-05-02;10.0.0.1:9000;1.00;........;1;72;71;UDP;10.0.0.254:50487;21:14:52;0
105;1374;788581;98967;2022-05-02;10.0.0.1:9000;1.00;........;1;72;71;UDP;10.0.0.254:50487;21:07:58;0
106;1374;788581;98967;2022-05-02;10.0.0.1:9000;1.00;........;1;72;71;UDP;10.0.0.254:50487;21:33:06;0
107;1374;788581;98967;2022-05-02;10.0.0.1:9000;1.00;........;1;72;71;UDP;10.0.0.254:50487;21:18:02;0
108;1374;788581;98967;2022-05-02;10.0.0.1:9000;1.00;........;1;72;71;UDP;10.0.0.254:50487;21:05:02;0
109;1374;788581;98967;2022-05-02;10.0.0.1:9000;1.00;........;1;72;71;UDP;10.0.0.254:50487;21:19:02;0
110;1374;788581;98967;2022-05-02;10.0.0.1:9000;1.00;........;1;72;71;UDP;10.0.0.254:50487;21:50:40;0
111;1374;788581;98967;2022-05-02;10.0.0.1:9000;1.00;........;1;72;71;UDP;10.0.0.254:50487;21:20:56;0
112;1374;788581;98967;2022-05-02;10.0.0.1:9000;1.00;........;1;72;71;UDP;10.0.0.254:50487;21:52:11;0
113;1374;788581;98967;2022-05-02;10.0.0.1:9000;1.00;........;1;72;71;UDP;10.0.0.254:50487;21:06:02;0
114;1374;787013;98967;2022-05-02;10.0.0.1:9000;1.01;........;1;72;71;UDP;10.0.0.254:50487;20:59:50;0
115;1374;787013;98967;2022-05-02;10.0.0.1:9000;1.01;........;1;72;71;UDP;10.0.0.254:50487;21:28:41;0
116;1374;787013;98967;2022-05-02;10.0.0.1:9000;1.01;........;1;72;71;UDP;10.0.0.254:50487;21:15:55;0
117;1374;787013;98967;2022-05-02;10.0.0.1:9000;1.01;........;1;72;71;UDP;10.0.0.254:50487;21:41:37;0
118;1374;787013;98967;2022-05-02;10.0.0.1:9000;1.01;........;1;72;71;UDP;10.0.0.254:50487;21:42:45;0
119;1374;787013;98967;2022-05-02;10.0.0.1:9000;1.01;........;1;72;71;UDP;10.0.0.254:50487;21:48:02;0
120;1374;787013;98967;2022-05-02;10.0.0.1:9000;1.01;........;1;72;71;UDP;10.0.0.254:50487;21:49:36;0
121;1374;787013;98967;2022-05-02;10.0.0.1:9000;1.01;........;1;72;71;UDP;10.0.0.254:50487;21:53:21;0
122;1374;768071;96201;2022-05-02;10.0.0.1:9000;1.00;........;1;70;69;UDP;10.0.0.254:50487;21:25:34;0
123;1374;745514;98967;2022-05-02;10.0.0.1:9000;1.06;........;1;72;67;UDP;10.0.0.254:50487;21:12:53;0
124;421;741760;9272;2022-05-02;197.226.227.80:443;0.10;........;1;22;220;UDP;10.0.0.1:56884;21:00:42;0
125;1374;735814;98967;2022-05-02;10.0.0.1:9000;1.08;........;1;72;66;UDP;10.0.0.254:50487;21:08:59;0
126;52;701333;526;2022-05-02;102.132.96.35:443;0.01;........;1;10;1666;TCP;10.0.0.1:47110;21:48:48;0
127;1372;633041;79605;2022-05-02;10.0.0.1:9000;1.01;........;1;58;57;UDP;10.0.0.254:50487;21:20:02;0
128;209;615200;4614;2022-05-02;104.244.42.130:443;0.06;........;1;22;366;TCP;10.0.0.1:38326;21:32:29;0
129;1360;590814;1.1M;2022-05-02;10.0.0.1:37761;15.22;........;1;826;54;UDP;197.226.227.80:443;21:12:28;0
130;181;581440;3634;2022-05-02;10.0.0.1:38326;0.05;........;1;20;400;TCP;104.244.42.130:443;21:32:29;0
131;209;576750;4614;2022-05-02;104.244.42.130:443;0.06;........;1;22;343;TCP;10.0.0.1:38330;21:48:10;0
132;183;561647;4774;2022-05-02;104.244.42.130:443;0.07;........;1;26;382;TCP;10.0.0.1:38318;21:27:53;0
133;52;526000;526;2022-05-02;104.244.42.130:443;0.01;........;1;10;1250;TCP;10.0.0.1:38306;21:00:39;0
134;52;526000;526;2022-05-02;104.244.42.130:443;0.01;........;1;10;1250;TCP;10.0.0.1:38320;21:31:55;0
135;181;519142;3634;2022-05-02;10.0.0.1:38330;0.06;........;1;20;357;TCP;104.244.42.130:443;21:48:10;0
136;148;509485;4458;2022-05-02;172.217.170.170:443;0.07;........;1;30;428;TCP;10.0.0.1:49184;21:45:38;0
137;420;506410;9242;2022-05-02;10.0.0.1:42550;0.15;........;1;22;150;TCP;52.85.218.46:443;21:06:19;0
138;1370;496277;64392;2022-05-02;10.0.0.1:9000;1.04;........;1;47;45;UDP;10.0.0.254:50487;21:13:47;0
139;824;493946;23092;2022-05-02;10.0.0.1:38825;0.37;........;1;28;74;UDP;172.217.170.206:443;21:52:12;0
140;649;490897;15586;2022-05-02;10.0.0.1:49112;0.25;........;1;24;94;TCP;172.217.170.174:443;21:06:23;0
141;649;490897;15586;2022-05-02;10.0.0.1:55408;0.25;........;1;24;94;TCP;172.217.170.206:443;21:52:12;0
142;1369;490067;61626;2022-05-02;10.0.0.1:9000;1.01;........;1;45;44;UDP;10.0.0.254:50487;21:10:03;0
143;804;489608;22522;2022-05-02;10.0.0.1:50858;0.37;........;1;28;76;UDP;172.217.170.174:443;21:06:23;0
144;59;476000;238;2022-05-02;10.0.0.1:47110;0.00;........;1;4;1000;TCP;102.132.96.35:443;21:48:10;0
145;59;476000;238;2022-05-02;10.0.0.1:55408;0.00;........;1;4;1000;TCP;172.217.170.206:443;21:52:55;0
146;44;448000;448;2022-05-02;10.0.0.1:38306;0.01;........;1;10;1250;TCP;104.244.42.130:443;21:00:39;0
147;44;448000;448;2022-05-02;10.0.0.1:38320;0.01;........;1;10;1250;TCP;104.244.42.130:443;21:31:55;0
148;325;428164;7814;2022-05-02;10.0.0.1:44903;0.15;........;1;24;164;UDP;102.132.96.35:443;21:47:20;0
149;449;426700;17068;2022-05-02;10.0.0.1:60496;0.32;........;1;38;118;TCP;216.58.223.106:443;21:16:09;0
150;585;383373;26932;2022-05-02;10.0.0.1:38324;0.56;........;1;46;81;TCP;104.244.42.130:443;21:30:46;0
151;129;372160;2326;2022-05-02;52.85.218.46:443;0.05;........;1;18;360;TCP;192.168.209.130:52426;21:52:56;0
152;672;366878;24214;2022-05-02;10.0.0.1:40038;0.53;........;1;36;68;TCP;52.85.218.129:443;21:06:19;0
153;1162;357794;6977;2022-05-02;10.0.0.1:9000;0.16;........;1;6;38;UDP;10.0.0.254:50487;21:21:42;0
154;55;356800;446;2022-05-02;34.117.237.239:443;0.01;........;1;8;800;TCP;10.0.0.1:59360;21:52:55;0
155;133;356307;3474;2022-05-02;34.117.237.239:443;0.08;........;1;26;333;TCP;10.0.0.1:59356;21:31:55;0
156;128;351542;3076;2022-05-02;10.0.0.1:59356;0.07;........;1;24;342;TCP;34.117.237.239:443;21:31:55;0
157;63;336000;252;2022-05-02;52.85.218.46:443;0.01;........;1;4;666;TCP;192.168.209.130:52416;21:29:38;0
158;63;336000;252;2022-05-02;52.85.218.46:443;0.01;........;1;4;666;TCP;192.168.209.130:52418;21:31:55;0
159;63;336000;252;2022-05-02;52.85.218.46:443;0.01;........;1;4;666;TCP;192.168.209.130:52420;21:40:26;0
160;582;323052;13972;2022-05-02;172.217.170.174:443;0.35;........;1;24;69;UDP;10.0.0.1:50858;21:06:23;0
161;549;322937;14290;2022-05-02;172.217.170.206:443;0.35;........;1;26;73;UDP;10.0.0.1:38825;21:52:12;0
162;40;320000;320;2022-05-02;10.0.0.1:59360;0.01;........;1;8;1000;TCP;34.117.237.239:443;21:52:55;0
163;59;317333;238;2022-05-02;10.0.0.1:38310;0.01;........;1;4;666;TCP;104.244.42.130:443;21:09:14;0
164;59;317333;238;2022-05-02;102.132.96.35:443;0.01;........;1;4;666;TCP;10.0.0.1:47110;21:48:10;0
165;59;317333;238;2022-05-02;172.217.170.206:443;0.01;........;1;4;666;TCP;10.0.0.1:55408;21:52:55;0
166;52;300571;526;2022-05-02;104.244.42.130:443;0.01;........;1;10;714;TCP;10.0.0.1:38332;21:54:29;0
167;44;298666;448;2022-05-02;10.0.0.1:38332;0.01;........;1;10;833;TCP;104.244.42.130:443;21:54:29;0
168;59;270857;474;2022-05-02;52.85.218.46:443;0.01;........;1;8;571;TCP;192.168.209.130:52418;21:32:22;0
169;335;246323;14102;2022-05-02;102.132.96.35:443;0.46;........;1;42;91;TCP;10.0.0.1:47112;21:47:20;0
170;59;238000;238;2022-05-02;10.0.0.1:38326;0.01;........;1;4;500;TCP;104.244.42.130:443;21:40:26;0
171;59;238000;238;2022-05-02;10.0.0.1:38314;0.01;........;1;4;500;TCP;104.244.42.130:443;21:20:15;0
172;59;237999;238;2022-05-02;10.0.0.1:38332;0.01;........;1;4;499;TCP;104.244.42.130:443;21:52:56;0
173;92;234680;34146;2022-05-02;197.226.227.80:443;1.16;........;1;370;317;UDP;10.0.0.1:46793;21:06:43;0
174;181;230857;3636;2022-05-02;10.0.0.1:38332;0.13;........;1;20;158;TCP;104.244.42.130:443;21:52:27;0
175;1332;224529;166601;2022-05-02;10.0.0.1:9000;5.94;........;1;125;21;UDP;10.0.0.254:50487;21:32:21;0
176;70;216615;704;2022-05-02;10.0.0.1:48810;0.03;........;1;10;384;TCP;35.232.111.17:80;21:12:48;0
177;63;201600;252;2022-05-02;52.85.218.46:443;0.01;........;1;4;400;TCP;192.168.209.130:52426;21:54:30;0
178;70;201142;704;2022-05-02;10.0.0.1:33040;0.03;........;1;10;357;TCP;35.224.170.84:80;21:30:43;0
179;59;190400;238;2022-05-02;104.244.42.130:443;0.01;........;1;4;400;TCP;10.0.0.1:38326;21:40:26;0
180;59;190400;238;2022-05-02;104.244.42.193:443;0.01;........;1;4;400;TCP;10.0.0.1:37650;21:42:25;0
181;59;190400;238;2022-05-02;104.244.42.130:443;0.01;........;1;4;400;TCP;10.0.0.1:38328;21:42:25;0
182;59;190400;238;2022-05-02;10.0.0.1:37650;0.01;........;1;4;400;TCP;104.244.42.193:443;21:42:25;0
183;59;190400;238;2022-05-02;10.0.0.1:38328;0.01;........;1;4;400;TCP;104.244.42.130:443;21:42:25;0
184;59;190400;238;2022-05-02;104.244.42.130:443;0.01;........;1;4;400;TCP;10.0.0.1:38310;21:09:14;0
185;59;190400;238;2022-05-02;104.244.42.130:443;0.01;........;1;4;400;TCP;10.0.0.1:38330;21:48:48;0
186;59;190400;238;2022-05-02;10.0.0.1:38330;0.01;........;1;4;400;TCP;104.244.42.130:443;21:48:48;0
187;59;190399;238;2022-05-02;104.244.42.130:443;0.01;........;1;4;399;TCP;10.0.0.1:38332;21:52:56;0
188;70;187733;704;2022-05-02;10.0.0.1:33044;0.03;........;1;10;333;TCP;35.224.170.84:80;21:56:47;0
189;209;177461;4614;2022-05-02;104.244.42.130:443;0.21;........;1;22;105;TCP;10.0.0.1:38332;21:52:27;0
190;293;176430;4102;2022-05-02;102.132.96.35:443;0.19;........;1;14;75;UDP;10.0.0.1:44903;21:47:20;0
191;517;166643;14498;2022-05-02;10.0.0.1:38310;0.70;........;1;28;40;TCP;104.244.42.130:443;21:08:14;0
192;70;165647;704;2022-05-02;10.0.0.1:48814;0.03;........;1;10;294;TCP;35.232.111.17:80;21:48:09;0
193;1331;162783;157086;2022-05-02;10.0.0.1:9000;7.72;........;1;118;15;UDP;10.0.0.254:50487;21:30:05;0
194;40;159999;200;2022-05-02;224.0.0.22:34;0.01;........;1;5;499;IGMP;192.168.209.1:0;21:25:29;0
195;40;159999;200;2022-05-02;224.0.0.22:34;0.01;........;1;5;499;IGMP;192.168.209.1:0;21:25:29;0
196;208;158666;8330;2022-05-02;10.0.0.1:47112;0.42;........;1;40;95;TCP;102.132.96.35:443;21:47:20;0
197;59;158666;238;2022-05-02;104.244.42.130:443;0.01;........;1;4;333;TCP;10.0.0.1:38314;21:20:15;0
198;85;153272;31804;2022-05-02;197.226.227.80:443;1.66;........;1;372;224;UDP;10.0.0.1:33266;21:29:35;0
199;360;152848;10088;2022-05-02;10.0.0.1:47108;0.53;........;1;28;53;TCP;102.132.96.35:443;21:09:25;0
200;67;144571;154836;2022-05-02;173.194.128.9:443;8.57;........;1;2286;266;UDP;10.0.0.1:39471;21:08:39;0
201;66;137147;31304;2022-05-02;173.194.128.9:443;1.83;........;1;472;258;UDP;10.0.0.1:60529;21:00:40;0
202;66;135281;27868;2022-05-02;173.194.128.9:443;1.65;........;1;416;252;UDP;10.0.0.1:39471;21:11:16;0
203;793;134765;43664;2022-05-02;10.0.0.1:45020;2.59;........;1;55;21;TCP;173.194.128.9:443;21:06:44;0
204;66;134177;31666;2022-05-02;173.194.128.9:443;1.89;........;1;474;251;UDP;10.0.0.1:39471;21:08:13;0
205;66;133124;27590;2022-05-02;173.194.128.9:443;1.66;........;1;412;248;UDP;10.0.0.1:57846;21:27:03;0
206;66;132581;28936;2022-05-02;173.194.128.9:443;1.75;........;1;434;248;UDP;10.0.0.1:57846;21:28:33;0
207;66;129730;938278;2022-05-02;173.194.128.9:443;57.86;........;1;14108;243;UDP;10.0.0.1:60132;21:30:47;0
208;742;129729;43816;2022-05-02;10.0.0.1:45022;2.70;........;1;59;21;TCP;173.194.128.9:443;21:06:44;0
209;63;128225;139670;2022-05-02;173.194.128.9:443;8.71;........;1;2192;251;UDP;10.0.0.1:39471;21:11:35;0
210;63;128016;143954;2022-05-02;173.194.128.9:443;9.00;........;1;2262;251;UDP;10.0.0.1:57846;21:27:26;0
211;63;125528;141596;2022-05-02;173.194.128.9:443;9.02;........;1;2224;246;UDP;10.0.0.1:39471;21:10:44;0
212;123;123900;2478;2022-05-02;102.132.96.35:443;0.16;........;1;20;125;TCP;10.0.0.1:47110;21:45:52;0
213;63;123720;128886;2022-05-02;173.194.128.9:443;8.33;........;1;2020;242;UDP;10.0.0.1:57846;21:28:00;0
214;66;121846;792;2022-05-02;10.0.0.1:38318;0.05;........;1;12;230;TCP;104.244.42.130:443;21:29:38;0
215;64;120129;200856;2022-05-02;173.194.128.9:443;13.38;........;1;3132;234;UDP;10.0.0.1:60529;21:00:03;0
216;66;118085;25654;2022-05-02;197.226.227.80:443;1.74;........;1;384;220;UDP;10.0.0.1:37761;21:15:05;0
